frame,people_count,avg_speed,avg_speed_squared,crowd_density,avg_acceleration,moving_count,stationary_count
1,11,0.0,0.0,11.0,0.0,0,11
2,10,3.738,19.8863,10.0,3.738,7,3
3,9,3.8822,25.5485,9.0,0.9711,5,4
4,9,4.0167,25.1138,9.0,0.3567,5,4
5,8,5.57,52.1274,8.0,1.89,6,2
6,7,4.6057,37.1314,7.0,0.0714,6,1
7,8,5.885,47.7412,8.0,0.9025,8,0
8,9,6.4067,63.9954,9.0,1.1756,8,1
9,7,6.03,43.1433,7.0,-1.4786,7,0
10,7,5.87,47.278,7.0,-0.1586,7,0
11,7,7.8071,97.0194,7.0,1.6114,6,1
12,9,8.8367,179.3082,9.0,2.6922,7,2
13,11,8.0782,101.1669,11.0,0.8118,9,2
14,10,7.466,65.6915,10.0,1.496,9,1
15,12,6.9908,72.5883,12.0,0.7683,9,3
16,9,7.7578,68.9686,9.0,1.2933,9,0
17,6,5.715,45.4781,6.0,-1.3933,5,1
18,8,7.4713,75.1164,8.0,2.435,7,1
19,8,9.4763,95.8867,8.0,2.0038,8,0
20,9,7.3522,66.4282,9.0,-1.0711,8,1
21,11,12.9173,398.5665,11.0,4.4445,10,1
22,11,7.4136,73.4344,11.0,-4.7955,10,1
23,11,7.2809,68.6478,11.0,0.6009,10,1
24,10,6.198,57.3983,10.0,-0.463,8,2
25,10,8.046,82.1051,10.0,1.681,9,1
26,7,7.8029,70.1153,7.0,-2.0171,6,1
27,9,6.4922,67.9793,9.0,1.2222,7,2
28,9,8.9467,116.7894,9.0,2.3022,8,1
29,2,5.99,35.989,2.0,-8.465,2,0
30,4,22.895,1247.5209,4.0,17.68,4,0
31,4,4.555,24.5055,4.0,-18.3375,3,1
32,6,6.4967,76.6792,6.0,2.405,4,2
33,5,5.336,38.0296,5.0,1.868,4,1
34,6,4.2533,36.3404,6.0,0.04,3,3
35,6,7.9833,95.6606,6.0,4.7,5,1
36,8,5.16,38.2285,8.0,-0.8262,6,2
37,6,5.1933,42.4959,6.0,1.605,4,2
38,6,7.425,63.4911,6.0,3.35,6,0
39,10,22.217,2406.8383,10.0,16.087,8,2
40,8,6.8225,57.2368,8.0,-20.4325,7,1
41,7,7.1429,64.5797,7.0,1.47,6,1
42,7,7.4671,87.8316,7.0,1.9414,6,1
43,8,25.55,3274.7662,8.0,17.4937,7,1
44,10,19.149,2011.4957,10.0,-1.963,8,2
45,11,5.1673,45.0826,11.0,-11.4645,8,3
46,9,7.9222,67.6426,9.0,3.7322,9,0
47,8,5.8225,46.8749,8.0,-0.8275,7,1
48,10,14.079,374.3971,10.0,7.968,10,0
49,12,5.9858,63.3279,12.0,-5.7475,10,2
50,13,20.6715,2654.3565,13.0,14.71,13,0
51,15,6.026,50.6718,15.0,-11.888,13,2
52,14,6.2814,50.154,14.0,0.0393,13,1
53,12,7.8208,79.9824,12.0,1.5417,12,0
54,8,7.295,62.481,8.0,-1.9087,8,0
55,10,7.152,83.9094,10.0,1.581,8,2
56,7,7.0014,53.4309,7.0,-0.1229,7,0
57,5,8.524,78.5938,5.0,0.81,5,0
58,5,8.062,84.8038,5.0,-0.164,4,1
59,4,16.0625,476.2409,4.0,9.605,4,0
60,4,9.655,123.9261,4.0,2.645,4,0
61,6,3.2733,28.4963,6.0,-2.3317,3,3
62,7,9.6643,174.5424,7.0,-0.0143,6,1
63,5,6.186,44.6291,5.0,-0.772,5,0
64,2,7.225,77.0509,2.0,-0.395,2,0
65,3,9.86,236.0007,3.0,6.5767,2,1
66,4,3.9125,24.0064,4.0,-3.4825,3,1
67,5,36.82,5052.9436,5.0,31.848,4,1
68,4,6.5275,50.7417,4.0,0.06,4,0
69,6,32.4133,3327.8341,6.0,25.9417,6,0
70,7,9.4943,149.8512,7.0,-36.6729,6,1
71,9,5.5456,39.2185,9.0,-5.6767,8,1
72,8,5.6937,63.9882,8.0,2.2412,5,3
73,9,7.3278,82.0788,9.0,1.6189,8,1
74,11,7.2609,83.808,11.0,1.3345,8,3
75,9,6.6156,65.0,9.0,0.14,8,1
76,6,5.4017,43.4891,6.0,-1.1133,5,1
77,9,9.0133,133.5678,9.0,3.4911,7,2
78,9,5.8378,115.9794,9.0,-0.1844,5,4
79,12,6.4492,76.9771,12.0,1.3033,8,4
80,10,6.064,68.2,10.0,0.676,9,1
81,7,4.0971,51.2981,7.0,-0.78,3,4
82,9,8.7644,165.7704,9.0,4.5156,6,3
83,7,8.83,120.8464,7.0,-1.8457,6,1
84,6,8.565,130.0377,6.0,-0.0633,4,2
85,5,7.748,113.1429,5.0,-2.126,3,2
86,8,7.84,111.7262,8.0,2.075,5,3
87,7,13.0514,438.0903,7.0,5.2286,4,3
88,5,4.694,50.6143,5.0,-6.782,2,3
89,6,12.4633,503.0334,6.0,6.7017,4,2
90,7,5.63,60.2633,7.0,-7.9243,4,3
91,6,8.9167,136.1551,6.0,4.1917,4,2
92,6,6.97,76.6756,6.0,-1.9467,4,2
93,7,5.9143,72.5641,7.0,-0.0614,4,3
94,8,3.6875,25.2687,8.0,0.04,5,3
95,7,4.0214,21.9961,7.0,0.1271,4,3
96,8,4.0112,36.2459,8.0,0.8513,4,4
97,7,3.7643,31.7034,7.0,-0.82,4,3
98,9,5.5011,88.3401,9.0,2.0056,5,4
99,7,4.5429,38.8523,7.0,1.0429,4,3
100,7,5.0671,45.863,7.0,0.5229,4,3
101,5,4.33,37.0241,5.0,-0.042,2,3
102,4,4.1775,38.5345,4.0,-0.985,2,2
103,7,3.0571,37.3,7.0,0.5271,2,5
104,7,5.4814,56.9782,7.0,2.4257,4,3
105,6,5.1633,58.4852,6.0,-0.3983,3,3
106,6,3.3333,29.0,6.0,0.3617,2,4
107,7,3.2843,26.2772,7.0,0.4271,3,4
108,10,5.254,73.4967,10.0,2.454,5,5
109,8,5.5237,59.2692,8.0,3.1587,5,3
110,7,5.8086,69.0012,7.0,-0.1843,5,2
111,9,4.4711,42.9749,9.0,-0.2933,5,4
112,8,5.6913,82.3442,8.0,1.9912,3,5
113,10,6.072,75.2156,10.0,0.878,6,4
114,9,6.1611,59.7625,9.0,0.0622,7,2
115,9,6.9067,78.869,9.0,1.0789,6,3
116,8,46.1575,11719.0744,8.0,38.5787,7,1
117,9,12.1256,290.0358,9.0,-30.5067,8,1
118,7,7.82,85.4568,7.0,1.1014,7,0
119,7,27.9043,2098.453,7.0,15.5857,5,2
120,8,10.8287,186.4323,8.0,-0.4775,7,1
121,9,9.0933,137.6804,9.0,-1.4267,7,2
122,11,5.49,89.2724,11.0,-1.5436,5,6
123,10,7.923,133.2046,10.0,2.137,7,3
124,9,4.8189,44.5507,9.0,-0.8689,6,3
125,13,8.2046,185.0158,13.0,2.1746,8,5
126,9,7.14,69.1124,9.0,3.0467,7,2
127,8,5.1487,34.3729,8.0,-1.2588,6,2
128,8,7.105,111.8415,8.0,-0.1312,6,2
129,8,7.08,76.1286,8.0,2.6025,6,2
130,7,38.8771,8600.2647,7.0,28.5786,5,2
131,6,4.265,22.6756,6.0,-40.9267,4,2
132,8,6.9025,118.3631,8.0,3.3088,6,2
133,7,8.2886,243.6811,7.0,1.26,4,3
134,5,4.148,27.5857,5.0,-6.29,3,2
135,3,0.8033,0.996,3.0,0.47,0,3
136,5,10.19,216.3971,5.0,1.934,3,2
137,7,5.9757,86.8395,7.0,-2.3371,4,3
138,6,4.2767,24.4979,6.0,0.975,4,2
139,6,3.7583,19.4857,6.0,0.6483,4,2
140,4,2.5575,14.9926,4.0,-0.2725,2,2
141,8,7.585,125.0191,8.0,4.9025,6,2
142,6,6.965,87.5106,6.0,2.3017,4,2
143,3,11.5167,134.3399,3.0,3.9733,3,0
144,4,14.6925,302.8474,4.0,2.9225,4,0
145,4,4.7175,33.7817,4.0,-7.825,3,1
146,6,10.99,177.6606,6.0,1.8867,5,1
147,6,11.8833,250.5202,6.0,1.945,5,1
148,5,9.314,127.6248,5.0,-0.024,3,2
